Day of Created At,Id,Name,Taggable,Taggable Id,Type
"17 February, 2017",38214,entrepreneurship,course,18,categories
"17 February, 2017",38220,graphic design,course,19,categories
"17 February, 2017",38313,entrepreneurship,course,36,categories
"17 February, 2017",38327,retail,course,39,categories
"17 February, 2017",38360,information technology,course,46,categories
"17 February, 2017",38414,information technology,course,55,categories
"17 February, 2017",38475,entrepreneurship,course,65,categories
"17 February, 2017",38619,media production,course,87,categories
"17 February, 2017",38835,information technology,course,126,categories
"17 February, 2017",38841,human resources,course,127,categories
"17 February, 2017",38851,human resources,course,128,categories
"17 February, 2017",38856,human resources,course,129,categories
"17 February, 2017",38883,human resources,course,133,categories
"17 February, 2017",38891,human resources,course,135,categories
"17 February, 2017",38902,sales,course,137,categories
"17 February, 2017",38908,sales,course,138,categories
"17 February, 2017",38916,sales,course,140,categories
"17 February, 2017",38926,information technology,course,143,categories
"19 February, 2017",38978,entrepreneurship,course,150,categories
"21 February, 2017",59626,sales,project,1557,categories
"23 February, 2017",59740,entrepreneurship,project,1573,categories
"24 February, 2017",59900,entrepreneurship,project,1600,categories
"24 February, 2017",59945,entrepreneurship,project,1607,categories
"24 February, 2017",59946,sales,project,1608,categories
"27 February, 2017",60093,entrepreneurship,project,1616,categories
"1 March, 2017",60405,human resources,project,1665,categories
"1 March, 2017",60486,graphic design,project,1684,categories
"1 March, 2017",60499,entrepreneurship,project,1685,categories
"2 March, 2017",60509,computer science & development,course,176,categories
"2 March, 2017",60565,entrepreneurship,project,1695,categories
"3 March, 2017",60589,engineering,project,1699,categories
"3 March, 2017",60596,engineering,project,1700,categories
"3 March, 2017",60665,engineering,project,1712,categories
"7 March, 2017",60784,entrepreneurship,project,1720,categories
"7 March, 2017",60793,information technology,course,183,categories
"7 March, 2017",60824,computer science & development,project,1725,categories
"8 March, 2017",60891,entrepreneurship,project,1735,categories
"8 March, 2017",60896,entrepreneurship,project,1736,categories
"9 March, 2017",60996,entrepreneurship,project,1743,categories
"10 March, 2017",61025,entrepreneurship,project,1744,categories
"10 March, 2017",61032,engineering,project,1745,categories
"12 March, 2017",61216,organizational behaviour & leadership,course,199,categories
"13 March, 2017",61271,entrepreneurship,project,1763,categories
"13 March, 2017",61277,communications,course,200,categories
"14 March, 2017",61377,entrepreneurship,project,1775,categories
"14 March, 2017",61430,communications,course,205,categories
"15 March, 2017",61457,entrepreneurship,project,1781,categories
"15 March, 2017",61473,entrepreneurship,project,1783,categories
"17 March, 2017",61684,retail,project,1809,categories
"17 March, 2017",61793,human resources,course,219,categories
"17 March, 2017",61817,retail,course,220,categories
"17 March, 2017",61835,retail,course,221,categories
"17 March, 2017",61849,communications,course,222,categories
"17 March, 2017",61850,human resources,course,222,categories
"20 March, 2017",61908,organizational behaviour & leadership,project,1818,categories
"20 March, 2017",61933,organizational behaviour & leadership,project,1822,categories
"20 March, 2017",61972,graphic design,course,229,categories
"21 March, 2017",62026,entrepreneurship,project,1828,categories
"21 March, 2017",62115,information technology,course,237,categories
"22 March, 2017",62171,organizational behaviour & leadership,project,1838,categories
"23 March, 2017",62263,organizational behaviour & leadership,project,1850,categories
"23 March, 2017",62296,computer science & development,course,246,categories
"24 March, 2017",62375,organizational behaviour & leadership,project,1860,categories
"26 March, 2017",62489,information technology,project,1866,categories
"27 March, 2017",62565,information technology,course,291,categories
"27 March, 2017",62590,computer science & development,course,293,categories
"27 March, 2017",62591,information technology,course,293,categories
"28 March, 2017",62597,computer science & development,course,292,categories
"28 March, 2017",62644,human resources,course,180,categories
"28 March, 2017",62712,organizational behaviour & leadership,project,1885,categories
"29 March, 2017",62762,graphic design,project,1887,categories
"29 March, 2017",62778,organizational behaviour & leadership,project,1889,categories
"29 March, 2017",62794,graphic design,project,1890,categories
"30 March, 2017",62926,communications,course,297,categories
"31 March, 2017",63012,information technology,course,307,categories
"31 March, 2017",63125,computer science & development,course,250,categories
"1 April, 2017",63175,organizational behaviour & leadership,project,1917,categories
"4 April, 2017",63357,graphic design,project,1933,categories
"4 April, 2017",63386,communications,course,320,categories
"4 April, 2017",63410,communications,course,319,categories
"4 April, 2017",63440,entrepreneurship,course,324,categories
"5 April, 2017",63566,organizational behaviour & leadership,project,1941,categories
"6 April, 2017",63692,organizational behaviour & leadership,project,1949,categories
"6 April, 2017",63713,sales,project,1951,categories
"6 April, 2017",63731,information technology,course,332,categories
"7 April, 2017",63887,communications,project,1969,categories
"7 April, 2017",63888,communications,course,337,categories
"7 April, 2017",63889,human resources,course,337,categories
"10 April, 2017",64210,organizational behaviour & leadership,course,352,categories
"11 April, 2017",64327,computer science & development,course,351,categories
"11 April, 2017",64328,information technology,course,351,categories
"12 April, 2017",64473,communications,project,2005,categories
"17 April, 2017",64702,sales,course,347,categories
"18 April, 2017",64766,graphic design,course,368,categories
"18 April, 2017",64776,information technology,course,369,categories
"20 April, 2017",64917,communications,course,345,categories
"21 April, 2017",65003,engineering,course,379,categories
"24 April, 2017",65230,communications,project,2067,categories
"25 April, 2017",65320,communications,project,2080,categories
"26 April, 2017",65353,sales,project,2084,categories
"26 April, 2017",65365,sales,project,2086,categories
"27 April, 2017",65505,communications,project,2097,categories
"28 April, 2017",65627,sales,project,2114,categories
"28 April, 2017",65648,communications,project,2117,categories
"4 May, 2017",66095,communications,course,407,categories
"7 May, 2017",66292,communications,course,410,categories
"8 May, 2017",66304,information technology,course,409,categories
"8 May, 2017",66384,computer science & development,project,2197,categories
"9 May, 2017",66400,accounting & finance,course,417,categories
"9 May, 2017",66426,computer science & development,project,2201,categories
"9 May, 2017",66446,computer science & development,course,419,categories
"10 May, 2017",66479,computer science & development,project,2205,categories
"10 May, 2017",66517,computer science & development,project,2210,categories
"11 May, 2017",66601,communications,project,2216,categories
"11 May, 2017",66610,sales,project,2218,categories
"11 May, 2017",66620,sales,course,426,categories
"11 May, 2017",66656,computer science & development,project,2223,categories
"11 May, 2017",66693,sales,project,2228,categories
"11 May, 2017",66708,computer science & development,project,2231,categories
"11 May, 2017",66719,computer science & development,project,2232,categories
"12 May, 2017",66818,sales,project,2244,categories
"12 May, 2017",66821,sales,project,2245,categories
"16 May, 2017",67082,retail,course,432,categories
"17 May, 2017",67116,retail,project,2268,categories
"17 May, 2017",67122,communications,project,2269,categories
"17 May, 2017",67145,information technology,project,2272,categories
"17 May, 2017",67153,sales,project,2273,categories
"17 May, 2017",67155,organizational behaviour & leadership,project,2274,categories
"18 May, 2017",67184,computer science & development,course,442,categories
"19 May, 2017",67230,communications,project,2280,categories
