Day of Created At,Id,Type,Projects Count
"11 February, 2017",39,employer,0
"11 February, 2017",159,employer,0
"11 February, 2017",291,employer,0
"11 February, 2017",326,employer,0
"11 February, 2017",328,employer,1
"11 February, 2017",465,employer,0
"11 February, 2017",566,employer,0
"11 February, 2017",567,employer,0
"11 February, 2017",568,employer,0
"11 February, 2017",569,employer,0
"11 February, 2017",570,employer,0
"11 February, 2017",571,employer,0
"11 February, 2017",572,employer,0
"11 February, 2017",573,employer,0
"11 February, 2017",574,employer,0
"11 February, 2017",575,employer,0
"11 February, 2017",576,employer,0
"11 February, 2017",577,employer,0
"11 February, 2017",578,employer,0
"11 February, 2017",580,employer,0
"11 February, 2017",581,employer,0
"11 February, 2017",582,employer,0
"11 February, 2017",583,employer,0
"11 February, 2017",584,employer,0
"11 February, 2017",585,employer,0
"11 February, 2017",586,employer,0
"11 February, 2017",587,employer,0
"11 February, 2017",588,employer,0
"11 February, 2017",589,employer,0
"11 February, 2017",590,employer,0
"11 February, 2017",591,employer,0
"11 February, 2017",592,employer,0
"11 February, 2017",593,employer,0
"11 February, 2017",594,employer,0
"11 February, 2017",595,employer,0
"11 February, 2017",596,employer,0
"11 February, 2017",597,employer,0
"11 February, 2017",598,employer,0
"11 February, 2017",599,employer,0
"11 February, 2017",600,employer,0
"11 February, 2017",601,employer,0
"11 February, 2017",602,employer,0
"11 February, 2017",603,employer,0
"11 February, 2017",604,employer,0
"11 February, 2017",606,employer,0
"11 February, 2017",607,employer,0
"11 February, 2017",608,employer,0
"11 February, 2017",609,employer,0
"11 February, 2017",610,employer,0
"11 February, 2017",611,employer,0
"11 February, 2017",612,employer,0
"11 February, 2017",613,employer,0
"11 February, 2017",614,employer,0
"11 February, 2017",615,employer,0
"11 February, 2017",616,employer,0
"11 February, 2017",617,employer,0
"11 February, 2017",618,employer,0
"11 February, 2017",619,employer,0
"11 February, 2017",620,employer,0
"11 February, 2017",621,employer,0
"11 February, 2017",622,employer,0
"11 February, 2017",623,employer,0
"11 February, 2017",624,employer,0
"11 February, 2017",625,employer,0
"11 February, 2017",626,employer,0
"11 February, 2017",627,employer,0
"11 February, 2017",628,employer,0
"11 February, 2017",629,employer,0
"11 February, 2017",630,employer,0
"11 February, 2017",631,employer,0
"11 February, 2017",632,employer,0
"11 February, 2017",633,employer,0
"11 February, 2017",634,employer,0
"11 February, 2017",635,employer,0
"11 February, 2017",636,employer,0
"11 February, 2017",637,employer,0
"11 February, 2017",638,employer,0
"11 February, 2017",639,employer,0
"11 February, 2017",640,employer,0
"11 February, 2017",641,employer,0
"11 February, 2017",642,employer,0
"11 February, 2017",643,employer,0
"11 February, 2017",644,employer,0
"11 February, 2017",645,employer,1
"11 February, 2017",646,employer,0
"11 February, 2017",647,employer,0
"11 February, 2017",648,employer,0
"11 February, 2017",649,employer,0
"11 February, 2017",650,employer,0
"11 February, 2017",651,employer,0
"11 February, 2017",652,employer,0
"11 February, 2017",653,employer,0
"11 February, 2017",654,employer,0
"11 February, 2017",655,employer,0
"11 February, 2017",656,employer,0
"11 February, 2017",657,employer,0
"11 February, 2017",658,employer,0
"11 February, 2017",659,employer,0
"11 February, 2017",660,employer,0
"11 February, 2017",661,employer,0
