Day of Created At,Id,Type,Teams Count
"11 February, 2017",1,student,0
"11 February, 2017",2,student,0
"11 February, 2017",3,student,0
"11 February, 2017",4,student,0
"11 February, 2017",5,student,0
"11 February, 2017",6,student,0
"11 February, 2017",7,student,0
"11 February, 2017",8,student,0
"11 February, 2017",9,student,0
"11 February, 2017",10,student,0
"11 February, 2017",11,student,0
"11 February, 2017",12,student,0
"11 February, 2017",13,student,0
"11 February, 2017",14,student,0
"11 February, 2017",15,student,0
"11 February, 2017",16,student,0
"11 February, 2017",17,student,0
"11 February, 2017",18,student,0
"11 February, 2017",19,student,1
"11 February, 2017",20,student,0
"11 February, 2017",21,student,0
"11 February, 2017",22,student,0
"11 February, 2017",23,student,0
"11 February, 2017",24,student,0
"11 February, 2017",26,student,0
"11 February, 2017",27,student,5
"11 February, 2017",28,student,0
"11 February, 2017",29,student,4
"11 February, 2017",30,student,0
"11 February, 2017",31,student,0
"11 February, 2017",32,student,0
"11 February, 2017",33,student,0
"11 February, 2017",34,student,0
"11 February, 2017",35,student,0
"11 February, 2017",36,student,0
"11 February, 2017",37,student,0
"11 February, 2017",38,student,0
"11 February, 2017",40,student,0
"11 February, 2017",41,student,0
"11 February, 2017",42,student,0
"11 February, 2017",43,student,0
"11 February, 2017",44,student,0
"11 February, 2017",45,student,0
"11 February, 2017",46,student,0
"11 February, 2017",47,student,0
"11 February, 2017",48,student,0
"11 February, 2017",49,student,2
"11 February, 2017",50,student,0
"11 February, 2017",51,student,0
"11 February, 2017",52,student,0
"11 February, 2017",53,student,0
"11 February, 2017",54,student,0
"11 February, 2017",55,student,0
"11 February, 2017",56,student,0
"11 February, 2017",57,student,0
"11 February, 2017",58,student,0
"11 February, 2017",59,student,0
"11 February, 2017",60,student,0
"11 February, 2017",61,student,0
"11 February, 2017",62,student,0
"11 February, 2017",63,student,0
"11 February, 2017",64,student,0
"11 February, 2017",65,student,0
"11 February, 2017",66,student,0
"11 February, 2017",67,student,0
"11 February, 2017",68,student,0
"11 February, 2017",69,student,0
"11 February, 2017",70,student,0
"11 February, 2017",71,student,0
"11 February, 2017",72,student,0
"11 February, 2017",73,student,0
"11 February, 2017",74,student,0
"11 February, 2017",75,student,0
"11 February, 2017",76,student,0
"11 February, 2017",77,student,0
"11 February, 2017",78,student,0
"11 February, 2017",79,student,0
"11 February, 2017",80,student,0
"11 February, 2017",81,student,0
